,Name,Director,Actor,Rating,Genre,Time,Release Date,anticipate Up,anticipate Down
14,원더,스티븐 크보스키,"제이콥 트렘블레이, 줄리아 로버츠, 오웬 윌슨, 이자벨라 비도빅",전체 관람가,드라마,113,2021.02.11,,
15,로그시티,올리비에르 마샬,"래닉 가우트리, 스타니슬라 메하르, 데이비드 벨, 장 르노",청소년 관람불가,"드라마, 액션, 범죄",115,2021.02.11,5,1
16,송가인 더 드라마,"이태슬, 김성윤",송가인,,공연실황,83,2021.02.11,935,17
17,더블패티,백승환,"신승호, 아이린",15세 관람가,드라마,107,2021.02.17,3855,1961
18,마리오네트,엘버트 반 스트리엔,"테크라 레우텐, 피터 뮬란, 엘리야 울프",12세 관람가,"미스터리, 스릴러",112,2021.02.17,79,0
19,미션 파서블,김형주,"김영광, 이선빈",15세 관람가,"코미디, 액션",105,2021.02.17,1662,118
20,시간의 끝에서 널 기다려,요정정,"리홍기, 이일동",12세 관람가,"드라마, 판타지, 멜로/로맨스",115,2021.02.17,265,31
21,인투 더 미러,아이작 에즈반,"마르틴 발스트룀, 조지아 킹, 마크 오브라이언, 에멜 아민",15세 관람가,"SF, 스릴러",104,2021.02.17,108,4
22,비포 미드나잇,리처드 링클레이터,"에단 호크, 줄리 델피, 샤뮤스 데이비 핏츠패트릭",청소년 관람불가,멜로/로맨스,108,2021.02.18,,
23,간이역,김정민,"김재경, 김동준, 윤유선, 허정민, 진예솔",12세 관람가,드라마,101,2021.02.18,364,51
24,론 서바이버 : 아미 오브 원,스티븐 더햄,엘렌 홀맨,,액션,90,2021.02.18,26,27
25,빛과 철,배종대,"염혜란, 김시은, 박지후",12세 관람가,드라마,107,2021.02.18,101,11
26,원챈스,데이빗 프랭클,"제임스 코든, 알렉산드라 로치, 콤 미니, 제미마 루퍼",12세 관람가,"코미디, 드라마",106,2021.02.18,,
27,클로저,마이크 니콜스,"나탈리 포트만, 주드 로, 줄리아 로버츠, 클라이브 오웬",청소년 관람불가,"드라마, 멜로/로맨스",103,2021.02.18,,
28,해변의 에트랑제,오오하시 아키요,"무라타 타이시, 마츠오카 요시츠구, 시마무라 유우, 이토 카나에",15세 관람가,"애니메이션, 멜로/로맨스",59,2021.02.18,381,6
29,퍼펙트 케어,J 블레이크슨,"로자먼드 파이크, 에이사 곤살레스, 다이앤 위스트, 알리시아 위트, 피터 딘클리지",15세 관람가,"범죄, 스릴러",118,2021.02.19,77,0
30,고백,서은영,"박하선, 하윤경, 감소현",15세 관람가,"드라마, 범죄",99,2021.02.24,451,28
31,더 레이서,키에론 J. 월쉬,"루이스 탈페, 마테오 시모니, 이아인 글렌, 타라 리",15세 관람가,드라마,97,2021.02.24,113,2
32,라스트 레터,이와이 슌지,"마츠 다카코, 히로세 스즈, 안노 히데아키, 카미키 류노스케",,"멜로/로맨스, 드라마",120,2021.02.24,113,3
33,리틀드래곤 코코넛2: 정글대탐험,앤소니 파워,"손선영, 원에스더, 김한나, 김진홍, 이승행, 정의한",전체 관람가,"애니메이션, 모험",79,2021.02.24,8,1
34,아홉수 로맨스,"이새별, 신효진","조한나, 이다해, 강나리, 이새별, 양지원, 지찬, 구윤상, 서인권",12세 관람가,멜로/로맨스,90,2021.02.24,23,5
35,잃어버린 얼굴 1895,이지나,"차지연, 강상준, 금승훈, 김건혜, 신상언, 최정수",전체 관람가,"뮤지컬, 공연실황",148,2021.02.24,26,0
36,타인의 친절,론 쉐르픽,"조 카잔, 타하르 라힘, 빌 나이, 안드레아 라이즈보로, 케일럽 랜드리 존스, 제이 바루첼",,드라마,112,2021.02.24,6,0
37,톰과 제리,팀 스토리,"클로이 모레츠, 마이클 페나, 켄 정",전체 관람가,애니메이션,100,2021.02.24,1474,62
38,포제서,브랜든 크로넨버그,"제니퍼 제이슨 리, 숀 빈",청소년 관람불가,"SF, 스릴러",103,2021.02.24,128,7
39,프라미싱 영 우먼,에머랄드 펜넬,캐리 멀리건,15세 관람가,"범죄, 드라마, 스릴러",114,2021.02.24,50,1
40,"구라, 베토벤",봉수,"송동환, 김누리, 봉수",15세 관람가,,101,2021.02.25,34,6
41,극장판 페이트/그랜드 오더 신성원탁영역 카멜롯 완더링; 아가트람,스에자와 케이,"미야노 마모루, 시마자키 노부나가, 타카하시 리에, 사카모토 마아야, 카와스미 아야코, 미즈시마 타카히로",15세 관람가,"애니메이션, 액션, 판타지",89,2021.02.25,2,0
42,기억의 전쟁,이길보라,"응우옌 티 탄, 응우옌 럽, 딘 껌, 응우옌 티 탄",12세 관람가,다큐멘터리,79,2021.02.25,,
43,라이브 하드,황욱,"크리스 라이언, 이재호, 갈치, 공민정, 이규복",,드라마,100,2021.02.25,22,8
44,람보,테드 코체프,실베스터 스탤론,15세 관람가,"드라마, 액션, 스릴러",93,2021.02.25,,
45,헬렌: 내 영혼의 자화상,안티 조키넨,로라 비른,12세 관람가,드라마,121,2021.02.25,6,1
46,2046,왕가위,"장쯔이, 장첸, 기무라 타쿠야, 유가령, 양조위, 왕페이, 베이 로건, 장만옥, 공리, 둥제, 소병림, 통차이 맥킨타이어, 오정엽",청소년 관람불가,드라마,128,2021.02,,
47,아마겟돈 2046,카렙 레초스키,제레미 대쉬,,"SF, 액션",96,2021.02,9,1
48,인싸,이수성,"동현, 송민경",12세 관람가,"액션, 코미디",83,2021.02,67,18
49,크리미널 오디션,사무엘 그리들리,,청소년 관람불가,"범죄, 스릴러",93,2021.02,3,0
50,클론: 데드 딕스 데이,"크리스 바보타, 리 파울라 스프링거",,청소년 관람불가,SF,82,2021.02,2,1
51,타락천사,왕가위,"여명, 금성무, 양채니, 이가흔, 막문위",15세 관람가,드라마,99,2021.02,,
52,파리의 별빛 아래,클로스 드렉셀,"카트린 프로, 마하마두 야파, 도미니크 프로트",전체 관람가,드라마,86,2021.02,9,2
53,미나리,정이삭,"스티븐 연, 한예리, 윤여정, 앨런 김, 노엘 조, 윌 패튼",,드라마,115,2021.03.03,4641,153
54,밤빛,김무영,"송재룡, 지대한",전체 관람가,"가족, 드라마",108,2021.03.04,14,3
55,신패왕화 : 예스마담,레이 우,"양리칭, 왕페이, 양사기",15세 관람가,액션,89,2021.03.04,12,2
56,쁘떼뜨,마틴 슈라이어,"에밀리아 슐레, 데니스 모옌, 마이클 귀스덱",12세 관람가,멜로/로맨스,127,2021.03.10,6,0
57,웨이 다운,자움 발라구에로,"프레디 하이모어, 리암 커닝햄, 샘 라일리, 아스트리드 베흐제 프리스베, 팜케 얀센",,"액션, 모험, 판타지",118,2021.03.11,1,0
58,고질라 VS. 콩,애덤 윈가드,"알렉산더 스카스가드, 밀리 바비 브라운",,액션,172,2021.03,1319,48
59,그녀가 사라졌다,루크 이브,"브렌튼 스웨이츠, 릴리 설리반, 조엘 잭슨",,멜로/로맨스,108,2021.03,2,1
60,라야와 마지막 드래곤,"돈 홀, 까를로스 로페즈 에스트라다","켈리 마리 트란, 아콰피나, 산드라 오, 대니얼 대 킴, 젬마 찬",,"애니메이션, 액션, 모험",,2021.03,489,16
61,모비우스,다니엘 에스피노사,"자레드 레토, 아드리아 아르조나",,"액션, 모험, 드라마",,2021.03,530,43
62,반딧불이 딘딘과 용감한 곤충 탐험대,등위봉,,전체 관람가,애니메이션,86,2021.03,3,2
63,스톰 보이,숀 시트,"핀 리틀, 제이 코트니, 제프리 러쉬",전체 관람가,"모험, 드라마, 가족",99,2021.03,56,6
64,유어 아이즈 텔,미키 타카히로,"요시타카 유리코, 요코하마 류세이",15세 관람가,멜로/로맨스,123,2021.03,74,12
65,"조제, 호랑이 그리고 물고기들",타무라 코타로,,,"애니메이션, 드라마",98,2021.03,926,35
66,중경삼림,왕가위,"임청하, 양조위, 금성무, 왕페이",15세 관람가,드라마,103,2021.03,,
67,카오스 워킹,더그 라이만,"톰 홀랜드, 데이지 리들리, 매즈 미켈슨",,모험,,2021.03,396,15
68,특명: 스피드 레스큐,국교량,왕해상,,"액션, 전쟁",83,2021.03,0,0
69,파이터,윤재호,"임성미, 백서빈, 오광록",12세 관람가,드라마,104,2021.03,9,0
70,프로젝트 마스,알렉산더 쿨리코프,"안나 반스치코바, 알렉산더 쿨리코프, 안드레이 스몰리야코프",12세 관람가,"모험, 드라마, SF",90,2021.03,16,3
71,피넛 버터 팔콘,"타일러 닐슨, 마이크 슈왈츠","샤이아 라보프, 다코타 존슨, 잭 고츠아전, 존 호키스",12세 관람가,드라마,97,2021.03,37,4
72,추룡 2 : 패왕,"왕정, 관지요","양가휘, 고천락, 임가동, 임달화",15세 관람가,"액션, 범죄, 스릴러",101,2021.04.08,5,3
73,분노의 질주: 더 얼티메이트,저스틴 린,"빈 디젤, 존 시나, 샤를리즈 테론, 미셸 로드리게즈, 조다나 브류스터",,액션,,2021.05,10700,297
74,007 노 타임 투 다이,캐리 후쿠나가,"다니엘 크레이그, 라미 말렉, 라샤나 린치, 레아 세이두",,액션,,2021.10,5240,188
75,쥬라기 월드: 도미니언,콜린 트레보로우,"크리스 프랫, 브라이스 달라스 하워드",,"액션, 모험",,2022.06.10,4676,113
